master_chemprop_input,lamellar,cylinder,sphere,gyroid,disordered
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,1,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,0,1
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,1
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,1
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,1
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,0,1
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,1,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,1,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,1,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,1,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,1,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,1,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,1,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,1,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,1,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,1,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,1,0,0
CC.CC(CC),0,1,1,0,0
CC.CC(CC),0,1,1,0,0
CC.CC(CC),0,1,1,0,0
CC.CC(CC),0,1,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,0
CC.CC(CC),0,0,1,0,1
CC.CC(CC),0,0,1,0,1
CC.CC(CC),0,0,1,0,1
CC.CC(CC),0,0,1,0,1
CC.CC(CC),0,0,0,0,1
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
CC.CC(CC),0,1,0,0,0
